Nr;date_farm;AMU;age;date_lab;AMP;AZI;AMI;GEN;TGC;TAZ;FOT;COL;NAL;TET;TMP;SMX;CHL;MERO;CIP;multidrug_res;drug_res;multiclass_res;class_res;;;
138;28.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
139;28.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
140;28.08.2023;0;1;06.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
141;30.08.2023;1;0;05.10.2023;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;7;1;6;;;
142;30.08.2023;1;1;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
143;30.08.2023;1;1;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
144;30.08.2023;1;1;05.10.2023;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;;;
145;06.09.2023;0;0;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
146;06.09.2023;0;1;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
147;06.09.2023;0;1;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
148;06.09.2023;0;1;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
149;06.09.2023;0;0;05.10.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
150;06.09.2023;0;1;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
151;06.09.2023;0;1;05.10.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
152;06.09.2023;0;1;13.09.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
